,생산량,면적,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일 강수량 평균,강수량 합계,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,평균 일조 시간,1시간 최다 일사량 평균,평균 일 합계 일사,일 최심신적설,일 최심적설,지면온도,최저 초상온도,5cm 지중온도,10cm 지중온도,20cm 지중온도,30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도,평균 일교차,일교차 15이상인 날,태풍 수,영향을 준 태풍 수,한파일 수,폭염일 수
감귤_-,1.0,0.9908700489384656,0.9186091445428163,0.9332730298724322,0.3895787059153022,0.4354606398077911,0.37575564680202256,0.48448087538323714,0.6752307335775768,0.6239059885201981,0.7689610516897699,0.7689801145558613,0.8243611392915472,0.7069849030312663,0.21139873243061857,0.7898484709731052,0.42773561671351806,-0.5931423304636245,-0.672362352823144,-0.29522866300940565,-0.4333976513619725,-0.0926084966215215,-0.14935663475126637,0.8681097489112896,0.9212011860660448,0.8577577025050767,0.9186574059727377,0.9234416369412706,0.9282070815227127,0.9193947049537344,0.8889057849992704,0.7791861739389341,0.8340306576400867,0.766358056007204,-0.8767289610453299,-0.5964144565341815,-0.1281456429990891,-0.0877686235307343,-0.1780513354946788,-0.4093272764012049
감자_가을,1.0,0.9792505247556793,0.6507783039751218,0.6509019682604898,0.5396690309191092,0.14080286028868083,0.13066275638708344,0.10018807533494731,0.5420868768391489,0.5365062112017128,0.5794798894264658,0.5794275017112205,0.5618308202712755,0.3465440072565717,-0.21042684762425862,0.5586806012557458,0.31225466469959934,0.6046350277784729,0.009507348514502875,0.3188539708906703,0.269516743070819,-0.12685064120114412,-0.12492228641287006,0.5995461408221813,0.622320900002925,0.6516265836702131,0.6631690266254617,0.6785978510930376,0.6956585185351878,0.5955196561626607,0.6485637295702893,0.6614019430630765,0.6741634697943617,0.670122383955195,-0.5519977581550604,-0.24266352274666925,-0.01603152010468547,-0.010984840491752912,-0.3346293744686695,-0.06559551680834252
감자_고랭지,1.0,0.9832340989564402,-0.4904442206926067,-0.4856559063574526,-0.4441341799749226,0.0924736578825134,0.21380599709529766,0.21795536866349235,-0.513100556267591,-0.24146517102893403,-0.2733874199077692,-0.2739508047675668,-0.5265535221688081,-0.23734708236758018,-0.1446628786181674,-0.49225107692823716,-0.8555932743027237,0.8822481468468072,-0.09308279245397579,0.2375600725366999,0.14839247239047423,0.2411985975134045,0.21192023833515647,-0.6470889315780111,-0.46869092248993544,-0.506470740600999,-0.5034398235547372,-0.4613001606397416,-0.5022468895362096,-0.3177974205259284,-0.2586670504015307,0.22060270424441397,0.6336021637109888,0.5780816217509968,-0.0009897079935373124,-0.008597787449876238,0.04136528491888239,-0.0025426372153838635,0.5366771527781796,-0.397419717180488
감자_봄,1.0,0.9550222670418678,-0.26866414674404754,-0.2858207548821735,-0.053378438946294834,-0.2601905052344839,-0.22200810850231215,-0.13441286990064705,0.0549000052916123,0.006068291278047938,-0.015937027310914603,-0.015940763845290962,-0.26714257142110076,-0.18272723978567762,-0.1385747736358516,-0.23698220742588447,-0.1615530257079545,0.3033866683453383,0.05415000308709925,0.013288016377146616,0.05600565329474161,0.16166150049866865,0.12792669587031938,-0.08352780975148612,-0.3113277124176579,-0.26512524619756095,-0.34883113666850935,-0.36114447796193166,-0.34572554384157944,-0.4485439917815678,-0.4897320076421738,-0.5359445481588145,-0.4400157920876707,-0.36386747549877885,0.1690181972210719,-0.04701182387561895,-0.04660909147179687,-0.08619425425587074,0.09786009467764975,0.056750335628979715
고추_-,1.0,0.9892686530888744,-0.44284403190040117,-0.40773678384551604,-0.30428638601331554,-0.28584422955532424,-0.29183383637805566,-0.11896842828403256,0.03246422678712046,-0.02567818807430004,-0.1167582772682182,-0.11671150785899424,-0.33260836602071514,-0.16504609924378258,-0.1314633480117676,-0.35907010674535733,-0.2363494000848301,0.228949872984624,0.13032194403556813,-0.2083777923698892,-0.17945741557137393,0.26547034757506727,0.11033339401189783,-0.3052779927438634,-0.37366325077773316,-0.19742394575760946,-0.2458928019619748,-0.24408332307193042,-0.2361607977406603,-0.28813041800411027,-0.3127791816193871,-0.3788270388894643,-0.4623897490497927,-0.4817189656014875,0.28858538154001134,0.11734926103372745,-0.043363207003967424,-0.10870347902955282,-0.10501369595065942,-0.09948284753995347
단감_-,1.0,0.9681972166064384,0.25200694209685903,0.1655841135234859,0.46041548358814527,0.041428027335431626,0.17731043847605513,0.08976020906971713,-0.014376395219049045,-0.02121129015608209,-0.07194543172465483,-0.07193632143392512,0.09107809902863445,-0.10659507094920931,-0.17415562138495996,0.09798654819655685,0.2945648470610291,-0.30762883812175207,0.06325805830010006,0.1855128369322244,0.2330206906389578,-0.23394545511676676,-0.2016783808267776,0.2711724222896387,0.09395354578983608,0.10523405195481085,0.11152279549038116,0.1282079577059311,0.11595130686276117,0.09207845877912497,0.10472001094878179,0.11051955551059883,0.09020339421441817,0.13192810693415535,0.04147407750822794,-0.042933635237590306,-0.056951925321843996,-0.05779301742965903,-0.3119912833152463,0.15983448636171374
당근_-,1.0,0.9893743830883905,0.6578514251184591,0.7350499510520442,0.084198104659563,0.19323704815355605,0.22574833302453445,0.19877956712111555,0.5773863893454688,0.5697816672574233,0.6700371032146727,0.6700295306618919,0.5544709766658721,0.5355481020362447,0.14884619628205384,0.5419929909887742,0.3448782990815524,-0.6311023256552316,-0.16009632175107522,0.23223005653761686,0.14945918676779302,-0.15208373240315864,-0.1329581126156529,0.5395079205893017,0.7118491388517212,0.648233809286156,0.6599952879908663,0.6258829096276671,0.632543736946898,0.511851861345181,0.5554215052580326,0.5788956034573884,0.6567630589321356,0.6620653890898508,-0.7305520865334517,-0.5117756224002075,-0.04691135627666154,-0.05340663835074712,-0.24078178131663008,-0.1452537645178398
대파_-,1.0,0.9829661903870871,0.10313130894374625,0.11022454686247876,0.06098753968103859,0.06822643911383859,0.014448750284053423,0.0031327602544978577,0.14937556518696352,0.216627675792791,0.16552826312098406,0.16509821079142875,0.11957490064304072,0.09098398660889846,0.08381995811891696,0.11799504373791175,0.3305515619619265,-0.04956025013834822,0.01398419023512941,0.03274959712933088,0.060827423675707364,,,0.07892281218658413,0.10775889674414199,-0.04386025659077399,-0.05406913472961286,-0.08223305151178668,-0.09590120118713469,-0.01784377001080447,-0.06172800562814549,0.08994518026484706,0.010236621697863976,0.0435528755231372,-0.07971866335002344,-0.03492962381662665,-0.03833236938486268,-0.003294117653789509,-0.03897741371093556,
땅콩_-,1.0,0.9198110058097104,-0.07202273046670213,-0.2496324005841985,0.27874013536488934,-0.22390285486275935,-0.32639580490795433,-0.2926880053384593,-0.28504833297844934,-0.3078374823383075,-0.30720363345024193,-0.30719010724811385,-0.1537473086351618,-0.2871693638118999,-0.1267085588781689,-0.1552913294502376,-0.11269356066125114,0.1744890837991155,0.20193688228339352,-0.10350118302182595,-0.04829265596655033,-0.12946140662515268,-0.1405957888394663,0.14264729096346754,-0.27908632669251704,-0.025802234947611014,-0.08456715954674096,-0.09295323827411667,-0.06807910259662593,-0.1783102903703355,-0.2577498422904872,-0.44682793407542226,-0.4894855462237544,-0.4652931159876881,0.3819291818990891,0.32274039935761056,0.011288051305852323,-0.0037682953728727835,-0.10365488581424964,0.21986684294614656
마늘_-,1.0,0.9841090731826937,0.5098270755298233,0.4943940556622652,0.4660807878051828,0.24997701926962249,0.2997001333255101,0.2995777158693445,0.4896710405008045,0.5121223382775252,0.4600315005118401,0.46001068560125996,0.43951583700653707,0.30175622225186155,0.11058219484048684,0.42984651116834244,0.5238159041793043,0.5659502595362108,-0.06910309322798773,0.1301738000981949,0.1277890275943355,-0.2794728327746821,-0.23886809536619066,0.5107346488768069,0.43517239294388893,0.3860848233963341,0.40297533570758054,0.407078244159883,0.3983506887900885,0.3566784683555733,0.35722952469608427,0.3794876576650994,0.3848493664413882,0.38441666419125525,-0.3795457037028606,-0.48083985586802275,0.015431848803607194,0.005800785675292779,-0.43714047745436246,-0.04021761538846425
무_가을,1.0,0.9599241019161011,0.03942700639736208,-0.00045137849727301926,0.12676646433040398,0.16997098159149313,-0.049766783239331126,-0.18760994558774693,-0.08806407342109591,-0.0339046389975709,-0.09866213107610466,-0.09861743713521418,0.1358751731801918,0.03944013814790048,0.24988275735791088,0.07851194529980333,0.3213885314082791,0.12143397275451887,0.06809382578879623,-0.04138775592009614,-0.02053452877906885,0.24926970449320104,0.11605202229886734,0.056794054719271875,0.007132953255342879,0.007006926984784515,-0.008620830256513938,3.828536877108812e-05,-0.005356588936446588,0.08960288352627196,0.07280827227585408,0.17837701704889714,0.13230435509944138,0.19712840123652303,0.10713635094494593,0.20337954949264575,-0.03174122512796674,-0.12269510785096743,-0.041449721335336885,0.07898299780268069
