지역,년도,생산량,면적,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일 강수량 평균,강수량 합계,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,평균 일조 시간,1시간 최다 일사량 평균,평균 일 합계 일사,일 최심신적설,일 최심적설,지면온도,최저 초상온도,5cm 지중온도,10cm 지중온도,20cm 지중온도,30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도,평균 일교차,일교차 15이상인 날,태풍 수,영향을 준 태풍 수,한파일 수,폭염일 수
경기도,2001,433,19,17.818032786885244,12.561475409836063,24.07018442622951,3.83677370030581,8.66602564102564,1013.925,6.4734631147540975,3.8883196721311473,1.4758196721311476,1275.1219262295083,10.822131147540984,41.1188524590164,66.80840163934427,14.747950819672132,1005.6074795081968,12.998053278688523,7.042315573770491,2.334303278688525,15.729016393442624,0.0,0.0,21.045081967213115,10.285860655737704,20.43606557377049,20.88606557377049,20.268852459016397,20.14918032786885,19.51188524590164,18.669262295081964,17.88073770491803,16.55983606557377,15.424590163934427,11.508709016393444,56,23,1,11,0
전라북도,2001,965,40,18.08073770491803,12.99063231850117,24.25240046838408,4.262530612244898,7.98870857142857,998.5885714285712,7.495140515222483,4.5580796252927405,1.5984777517564404,1381.144613583138,12.06891100702576,45.183840749414514,70.28149882903982,15.689695550351288,999.1177400468384,12.938173302107728,6.943384074941452,2.3654508196721307,15.57188524590164,0.0012295081967213,0.0012295081967213,21.17072599531616,10.72804449648712,21.62459016393443,21.37663934426229,21.58688524590164,21.6905737704918,21.68155737704918,20.59016393442623,,,,11.261768149882904,46,23,1,3,0
경상북도,2001,3646,196,17.678237704918033,12.581188524590162,23.7094262295082,2.416465201465201,5.91857857635808,952.8911507936508,8.288073770491803,4.599590163934426,1.9271721311475407,1665.033606557377,10.658606557377048,43.86147540983606,66.46045081967212,14.563647540983606,998.3329098360656,12.972868852459015,7.900655737704918,2.1664754098360657,14.260717213114754,0.0,0.0,21.274344262295084,10.737909836065574,21.21284153005465,20.908469945355197,20.70450819672131,20.457650273224044,19.98592896174864,18.665983606557376,18.06680327868852,15.74405737704918,14.787909836065577,11.128237704918032,30,23,1,3,0
충청남도,2001,4510,196,18.2272131147541,12.92950819672131,24.46663934426229,3.963733333333333,7.470000000000001,836.6400000000001,7.374918032786885,4.387377049180328,1.689016393442623,1459.2852459016392,11.807622950819672,44.68032786885246,68.11631147540984,15.45122950819672,1007.7332786885244,12.96688524590164,9.368524590163934,2.3201639344262297,15.63811475409836,0.0013934426229508,0.0013934426229508,21.746311475409836,11.245901639344265,20.50204918032787,20.248360655737702,20.018852459016397,19.6577868852459,19.16188524590164,18.154098360655738,,,,11.537131147540986,51,23,1,3,0
경상남도,2001,9335,461,18.70891393442623,13.821106557377052,24.73985655737705,4.286539757412399,10.198426406926403,1121.8269047619046,6.731915983606556,3.8329918032786887,1.4571209016393445,1258.967213114754,11.597028688524588,42.65727459016394,65.68370901639344,15.293545081967212,1006.4069672131149,12.926024590163934,6.463524590163934,2.384959016393443,15.901823770491804,0.0,0.0,21.86280737704918,11.853637295081963,20.798360655737703,20.838114754098363,20.841803278688527,20.73688524590164,20.668032786885245,19.10532786885246,,,,10.91875,37,23,1,0,0
충청북도,2001,450,39,17.521967213114756,11.960409836065574,23.896475409836064,2.7108838383838383,5.6391782407407405,812.0416666666666,7.939836065573771,4.877049180327869,1.9400819672131149,1676.3713114754098,9.989918032786886,40.967213114754095,64.20581967213116,13.93860655737705,993.5787704918032,12.976065573770493,7.537868852459016,2.530655737704918,16.619139344262294,0.0,0.0,20.90885245901639,10.270327868852458,,,,,,,,,,11.936065573770492,57,23,1,3,0
제주도,2001,104035,2330,20.317110655737704,17.40594262295082,23.723360655737704,3.4473163841807906,9.219274809160304,1207.725,10.746004098360654,7.18125,3.8469262295081967,3323.59118852459,14.33842213114754,53.552254098360656,69.51260245901639,17.807889344262296,1008.2063524590164,12.870901639344265,6.160245901639345,2.4836270491803285,16.169508196721313,0.0,0.0,22.64129098360656,15.41045081967213,22.77418032786885,22.916803278688526,22.696516393442625,22.55819672131148,22.2875,21.597540983606557,20.546311475409837,19.798770491803285,17.719262295081972,6.317418032786886,0,23,1,0,0
강원도,2001,20912,713,17.078442622950817,12.014508196721312,23.07090163934426,2.623408029878618,6.485319143819145,1070.0776587301589,7.358196721311476,4.213647540983606,1.9352049180327864,1672.023360655738,10.145655737704915,42.67295081967213,67.39131147540984,14.196065573770491,991.4482786885246,13.013319672131146,6.330696721311476,2.255532786885245,14.65003073770492,0.001311475409836,0.0026229508196721,19.677254098360656,9.99844262295082,19.63688524590164,19.465983606557376,19.425,19.19781420765027,18.751092896174864,17.96912568306011,17.193032786885247,16.12090163934426,15.31045081967213,11.056393442622952,34,23,1,8,0
전라남도,2001,2066,85,18.702400468384077,14.695081967213117,23.524648711943797,3.2284774436090227,7.295032123960695,919.1740476190477,9.691510538641683,6.464695550351287,2.991569086651054,2584.536299765808,12.83717798594848,49.3231850117096,70.47851288056206,16.426112412177986,1007.663524590164,12.906908665105384,7.700292740046839,2.4670901639344263,16.588094262295083,0.0,0.0,21.53512880562061,12.39192037470726,20.93217213114754,20.704713114754096,20.753688524590164,20.66352459016393,20.437704918032782,19.996106557377047,19.22110655737705,17.745491803278686,16.682377049180328,8.829566744730679,4,23,1,0,0
경상북도,2002,3471,190,16.252663934426227,11.455245901639344,21.74590163934426,2.8850782778864974,8.2649874061401,1380.2528968253969,8.313688524590164,4.75172131147541,2.0045901639344264,1731.9709016393444,9.597254098360654,45.76475409836065,67.26897540983606,13.663196721311474,998.096475409836,12.980245901639346,6.474180327868852,2.128381147540984,14.176823770491804,0.0035655737704918,0.0043852459016393,19.38545081967213,9.740122950819671,19.81188524590164,19.60546448087432,19.570628415300547,19.499590163934425,19.227322404371584,18.4292349726776,18.035860655737704,15.97622950819672,14.974590163934426,10.29065573770492,25,23,4,0,0
전라남도,2002,1221,49,17.757845433255266,13.917857142857144,22.361826697892276,3.624426485922836,9.433361715547148,1424.4376190476191,10.188290398126464,6.761592505854802,3.1535714285714285,2724.675058548009,12.542974238875878,53.03922716627634,73.47201405152224,16.127751756440283,1007.326756440281,12.916861826697891,6.131323185011709,2.3174180327868856,15.21516393442623,0.0,0.0,19.803981264637,12.021018735362995,19.954918032786885,19.78770491803279,19.800819672131148,19.81168032786885,19.97131147540984,19.76700819672131,19.107786885245897,17.80348360655738,16.842418032786888,8.443969555035128,3,23,4,0,0
경기도,2002,557,26,16.54344262295082,11.549795081967211,22.4140368852459,3.522492625368732,10.2826,1285.325,6.373770491803279,3.756967213114754,1.4346311475409834,1239.502049180328,9.94077868852459,43.19262295081968,67.45543032786885,14.080225409836068,1005.3017418032788,13.00358606557377,6.57172131147541,2.248770491803279,15.012745901639349,0.0063524590163934,0.0063524590163934,18.74375,9.62110655737705,18.99016393442623,19.485245901639345,18.990573770491807,19.118032786885248,18.532786885245898,18.421311475409837,17.787295081967216,16.45,15.390983606557375,10.864241803278688,42,23,4,1,0
경상남도,2002,12296,525,17.93391393442623,13.186936475409835,23.57669057377049,4.109460565476191,11.962429577464787,1698.6649999999995,7.357479508196721,4.229918032786885,1.534016393442623,1325.385245901639,11.261065573770493,45.228483606557376,67.46634221311474,15.128790983606558,1006.1641393442624,12.93222336065574,6.69298155737705,2.253729508196721,14.858934426229508,0.0,0.0,20.303739754098363,11.054200819672127,19.69426229508197,19.890163934426237,20.029098360655738,20.015983606557377,19.693032786885247,19.131557377049177,,,,10.389754098360651,35,23,4,0,0
