지역,년도,생산량,면적,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일 강수량 평균,강수량 합계,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,평균 일조 시간,1시간 최다 일사량 평균,평균 일 합계 일사,일 최심신적설,일 최심적설,지면온도,최저 초상온도,5cm 지중온도,10cm 지중온도,20cm 지중온도,30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도,평균 일교차,일교차 15이상인 날,태풍 수,영향을 준 태풍 수
강원도,2001,161222,4794,19.852896174863385,14.906994535519129,25.656174863387974,2.78206746031746,7.257736394557823,1016.0830952380952,7.457322404371585,4.277814207650274,1.9651366120218576,1697.7989071038253,13.062185792349728,45.06612021857924,68.60475409836066,16.432131147540982,989.3369945355188,13.714699453551912,6.423715846994536,2.383702185792349,15.957377049180328,0.0015846994535519,0.0031693989071038,23.170601092896177,13.105409836065576,22.791256830601093,22.444444444444443,22.19271402550091,21.700364298724956,20.711657559198542,19.03460837887068,17.528688524590162,15.608743169398908,14.660655737704918,10.749180327868851,24,22,1
경상북도,2001,2412,92,20.299672131147545,15.31229508196721,26.12972677595628,2.6286885714285715,6.328632842025699,797.4077380952381,8.356448087431694,4.630546448087431,1.948360655737705,1683.2754098360656,13.37808743169399,45.83551912568307,67.49819672131147,16.722841530054644,996.1968852459016,13.647923497267758,8.233715846994535,2.261967213114754,15.293360655737702,0.0,0.0,24.68273224043716,13.664863387978144,24.166484517304188,23.685063752276868,23.19107468123861,22.74590163934426,21.73752276867032,19.467759562841525,18.355737704918035,15.25,14.390710382513662,10.817431693989072,21,22,1
경상북도,2002,2175,89,19.06169398907104,14.48655737704918,24.35016393442623,3.041713263588264,9.584257154882156,1265.1219444444446,7.807049180327869,4.505136612021858,1.8710928961748632,1616.6333333333334,13.020765027322405,49.666120218579245,70.38819672131147,16.017704918032784,996.3602732240436,13.657158469945356,6.427650273224043,2.1868852459016392,14.94830601092896,0.0,0.0,22.85453551912569,13.004371584699454,22.83843351548269,22.433333333333334,22.08433515482696,21.82404371584699,20.969034608378877,19.27285974499089,18.31584699453552,15.48551912568306,14.520491803278688,9.863606557377048,16,21,4
강원도,2002,182212,4428,18.74103825136612,14.156229508196722,24.0651912568306,3.646074603174603,11.492968253968252,1436.6210317460316,7.718961748633879,4.700437158469945,1.930054644808743,1667.5224043715846,12.866120218579235,48.59016393442623,71.22327868852459,15.855464480874318,989.4319125683058,13.72142076502732,5.717213114754099,2.316584699453552,15.548497267759563,0.0,0.0,21.69464480874317,12.270273224043716,21.671948998178507,21.549544626593804,21.2976320582878,21.091803278688527,20.532604735883428,19.140255009107467,17.9620218579235,16.25846994535519,15.204918032786884,9.908961748633878,18,21,4
경상북도,2003,910,47,18.936939890710384,14.815191256830603,23.94344262295082,4.292784043441938,12.459120718462824,1657.0630555555556,7.640327868852458,4.418524590163934,1.7250273224043713,1490.4393442622952,14.013387978142076,54.27322404371585,74.81453551912568,16.95021857923497,996.7955191256832,13.65896174863388,5.495027322404371,1.964972677595628,13.006092896174865,0.0,0.0,21.975628415300545,13.621420765027324,22.045719489981785,21.85154826958106,21.46393442622951,21.26976320582878,20.673224043715845,18.90837887067395,17.609562841530053,15.096994535519126,14.17131147540984,9.128251366120216,12,18,4
강원도,2003,129196,3801,18.589836065573767,14.403387978142078,23.723551912568304,3.983543713781809,12.591052993375827,1599.0637301587303,7.357759562841529,4.542786885245901,1.7937158469945356,1549.860655737705,13.770163934426227,53.04426229508196,75.65650273224044,16.7524043715847,989.886612021858,13.72349726775956,4.865956284153006,2.189713114754099,14.438592896174862,0.0,0.0,21.35327868852459,12.921803278688524,21.43114754098361,21.27322404371585,20.93351548269581,20.676320582877963,20.140619307832424,18.7367941712204,17.36748633879781,15.430054644808742,14.31584699453552,9.32016393442623,10,18,4
경상북도,2004,1214,59,20.210109289617485,15.553497267759562,25.630765027322408,3.997885044642857,10.215893626184323,1317.8502777777778,8.429562841530053,4.837978142076502,1.9692896174863384,1701.4666666666667,14.115409836065574,49.04863387978142,70.6164480874317,17.401857923497268,995.9159016393442,13.653606557377048,6.047322404371584,2.101666666666666,14.38032786885246,0.0,0.0,23.532896174863385,13.99792349726776,23.198178506375232,22.961748633879782,22.53260473588342,22.08251366120218,21.226047358834244,19.32531876138433,18.244262295081967,15.55327868852459,14.284426229508195,10.07726775956284,24,24,5
강원도,2004,125116,4014,19.62191256830601,15.114644808743169,25.00617486338798,3.5827676190476194,11.137005714285715,1392.1257142857144,8.08120218579235,4.878251366120218,1.9882513661202188,1717.870491803279,13.945956284153006,49.0032786885246,72.96431693989071,17.28830601092896,989.1426229508196,13.718142076502732,5.521584699453552,2.314344262295082,15.535737704918038,0.0060655737704918,0.0107103825136612,22.38,13.635846994535518,22.592349726775957,22.252094717668488,21.910928961748635,21.4856102003643,20.751001821493624,19.43897996357013,18.370218579234976,16.456284153005466,14.991803278688524,9.891530054644807,17,24,5
경상북도,2005,2620,95,20.32825136612022,15.785464480874316,25.658415300546448,3.362248354626403,8.323321718931476,1023.7685714285716,8.321092896174862,4.776666666666666,2.0137158469945358,1739.0644808743173,14.745081967213116,51.099453551912575,72.73688524590163,18.23606557377049,995.5643169398908,13.654863387978144,6.2702732240437165,2.219098360655738,15.385409836065577,0.0,0.0,24.03595628415301,14.355846994535517,23.48324225865209,23.23497267759563,22.663934426229503,22.21056466302368,21.475956284153007,19.29344262295082,17.60737704918033,15.158469945355186,14.582786885245904,9.87295081967213,12,19,1
강원도,2005,151609,4290,19.751584699453552,15.409890710382514,24.982786885245904,3.828673699832236,10.611918312040263,1305.2659523809525,8.224153005464482,4.939398907103826,2.04224043715847,1764.0475409836067,13.919890710382514,49.169945355191246,71.89377049180327,17.377486338797812,988.8479781420764,13.719726775956284,5.616284153005463,2.4095355191256838,16.05610655737705,0.0,0.0,22.25295081967213,13.9224043715847,22.696903460837884,22.23151183970856,21.84225865209472,21.354644808743167,20.63806921675774,19.04735883424408,18.01229508196721,15.802459016393442,14.648907103825136,9.572896174863386,12,19,1
