지역,년도,생산량,면적,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일 강수량 평균,강수량 합계,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,평균 일조 시간,1시간 최다 일사량 평균,평균 일 합계 일사,일 최심신적설,일 최심적설,지면온도,최저 초상온도,5cm 지중온도,10cm 지중온도,20cm 지중온도,30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도,평균 일교차,일교차 15이상인 날,태풍 수,영향을 준 태풍 수
강원도,2001,290571,7277,22.243008130081304,17.73967479674797,27.74813008130082,3.123975137674117,7.985883138969874,782.6165476190477,7.207479674796748,4.137154471544715,1.886910569105691,1630.159349593496,16.143008130081302,48.93983739837399,71.50536585365853,19.25284552845529,987.4473983739836,14.15918699186992,6.34609756097561,2.412479674796748,16.270040650406504,0.0,0.0,25.737642276422765,16.174959349593497,25.28455284552845,24.84146341463414,24.45176151761517,23.822222222222223,22.529539295392954,20.35338753387534,18.37723577235772,15.60650406504065,14.290650406504067,10.008455284552843,8,19,1
경상북도,2001,15412,372,22.6309756097561,17.953739837398373,28.26585365853658,3.01455762987013,6.8966795969324055,613.8044841269841,8.035284552845528,4.446178861788619,1.8709756097560972,1616.3674796747966,16.154065040650405,48.75528455284553,69.53878048780489,19.328536585365853,994.3168292682928,14.07691056910569,8.369674796747967,2.29280487804878,15.747642276422765,0.0,0.0,27.460975609756098,16.45658536585366,26.68726287262873,26.09078590785908,25.36720867208672,24.78644986449865,23.403252032520324,20.539024390243902,19.06463414634146,15.268699186991867,14.274390243902436,10.31211382113821,8,19,1
전라북도,2001,69390,1844,23.173635307781648,18.73948896631824,28.670615563298483,4.946969111969112,10.089644444444446,756.7233333333334,7.4851335656213696,4.544715447154472,1.6012775842044134,1383.622531939605,17.506620209059232,50.28571428571428,72.31951219512194,20.79349593495935,994.87131242741,14.003368176538908,6.779326364692219,2.4773170731707315,16.739430894308946,0.0,0.0,27.04518002322881,16.9787456445993,27.10162601626016,26.52926829268292,26.43170731707317,26.244715447154476,25.694308943089425,23.239837398373982,,,,9.931126596980254,12,19,1
충청북도,2001,1637,41,22.77317073170732,17.871544715447158,28.54455284552845,3.277276422764228,6.935345528455284,568.6983333333333,7.68959349593496,4.696422764227642,1.7783739837398371,1536.7821138211386,15.666991869918698,45.939837398373975,66.63821138211382,18.691869918699183,989.4024390243902,14.080325203252034,7.873495934959349,2.6439837398373984,18.12455284552845,0.0,0.0,27.059512195121957,16.57008130081301,,,,,,,,,,10.6730081300813,15,19,1
경상남도,2001,22141,700,23.363414634146345,19.123678861788616,28.702439024390245,5.099011741682974,11.956613756613756,860.8761904761905,6.919817073170731,3.952439024390244,1.4903455284552845,1287.6331300813008,17.104065040650408,49.20121951219512,69.78780487804879,20.302743902439023,1002.3105691056908,13.975813008130082,6.309756097560975,2.4412195121951217,16.906544715447154,0.0,0.0,27.1890243902439,17.653963414634145,25.982113821138213,25.78943089430894,25.461788617886175,25.084552845528453,24.30975609756097,21.354471544715448,,,,9.578760162601624,8,19,1
전라북도,2002,45800,1303,22.34285714285714,18.199303135888503,27.49849012775842,3.4027170868347336,9.728179271708685,826.895238095238,7.029500580720095,4.28432055749129,1.6831591173054588,1454.2346109175378,16.88176538908246,52.94192799070847,72.72880371660858,19.910104529616728,994.0836236933798,14.01753774680604,6.118699186991871,2.3373983739837407,16.06317073170732,0.0,0.0,25.232752613240415,16.60905923344948,25.813821138211384,25.5390243902439,25.64390243902439,25.15284552845528,24.889430894308944,22.794308943089437,,,,9.29918699186992,11,19,4
경상북도,2002,13961,399,21.22455284552845,16.92430894308943,26.18731707317073,3.211346646185356,10.11194487113842,940.410873015873,7.713414634146342,4.479430894308943,1.8856910569105687,1629.2544715447154,15.4339837398374,52.53170731707316,71.61398373983741,18.233414634146342,993.87837398374,14.0890243902439,6.497642276422765,2.216666666666667,15.584146341463416,0.0,0.0,25.385447154471542,15.5309756097561,25.085365853658537,24.51788617886179,23.95094850948509,23.575067750677505,22.235772357723576,20.09566395663957,18.76016260162601,15.39227642276423,14.289430894308945,9.2630081300813,8,19,4
강원도,2002,215921,5645,20.80243902439025,16.60910569105691,25.730243902439025,3.9160009287402895,12.550572441742656,1179.7538095238097,7.565284552845529,4.6260975609756105,1.9078048780487804,1648.2731707317073,15.462845528455285,52.84471544715448,73.4771544715447,18.165772357723576,987.0771544715448,14.172439024390243,5.435040650406503,2.298678861788618,15.598699186991867,0.0,0.0,23.98333333333333,14.918048780487805,23.889972899729,23.663414634146346,23.305149051490517,22.948238482384824,22.114905149051488,20.26964769647697,18.72520325203252,16.38048780487805,14.944715447154472,9.12113821138211,8,19,4
경상남도,2002,26454,666,22.755081300813007,18.61361788617886,27.785975609756097,4.965427968655817,16.124899035563594,1273.867023809524,7.094512195121952,4.157418699186992,1.5028455284552846,1298.459349593496,17.085670731707314,52.26524390243903,72.00335365853658,20.135264227642278,1001.6118902439024,13.984146341463417,6.554471544715447,2.3077235772357727,16.078943089430894,0.0,0.0,26.02103658536585,16.689634146341465,24.904065040650405,24.812195121951213,24.55447154471544,24.054471544715447,23.305691056910565,21.33821138211382,,,,9.172357723577235,11,19,4
충청북도,2002,201,5,21.402601626016263,16.977235772357723,26.532032520325203,3.674177215189873,11.352194092827006,896.8233333333335,7.943252032520324,4.750731707317073,1.9006504065040648,1642.1951219512196,15.856260162601624,51.8260162601626,72.70585365853657,18.66406504065041,988.6437398373984,14.097560975609756,6.429593495934959,1.5191056910569103,10.100650406504064,0.0,0.0,25.023252032520325,15.448455284552846,,,,,,,,,,9.554796747967478,14,19,4
