,지역,년도,생산량,면적,평균 기온,최저 기온,최고 기온,1시간 최다강수량,일 강수량 평균,강수량 합계,최대 순간풍속,최대 풍속,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,가조시간,평균 일조 시간,1시간 최다 일사량 평균,평균 일 합계 일사,일 최심신적설,일 최심적설,지면온도,최저 초상온도,5cm 지중온도,10cm 지중온도,20cm 지중온도,30cm 지중온도,0.5m 지중온도,1.0m 지중온도,1.5m 지중온도,3.0m 지중온도,5.0m 지중온도,평균 일교차,일교차 15이상인 날,태풍 수,영향을 준 태풍 수,한파일 수,폭염일 수
0,경기도,2001,0.18943552927927929,0.5865193370165747,0.4133890721913285,0.1885053428001029,0.6720771195517843,0.34609338248660343,0.3059569959159012,0.2740619425028515,0.17628702086318215,0.16468811277757167,0.12469027560705981,0.12469396868993005,0.14638163499437762,0.11907645722937166,0.13867386823780903,0.1557925267709317,0.7819257567154736,0.8780760626398063,0.47902583810863675,0.7017753173332562,0.7432567453844428,0.11616362192216018,0.02605704499822841,0.5384485666104544,0.12998036862477047,0.5170711825889693,0.6149889345010124,0.5591799856437176,0.5747198949424979,0.32424115242164087,0.3212469910671971,0.3534341717513845,0.3687600055463811,0.30648404309169863,0.8981602834813844,0.8387096774193548,0.6153846153846154,0.14285714285714285,0.55,0.0
1,경상남도,2001,0.6549127252252251,0.6125966850828729,0.598906757672307,0.37910584082374443,0.8170397762796329,0.44029499075511797,0.41464177198622865,0.3521878747111982,0.20302839983513543,0.12581482855477222,0.11153890138375322,0.11154388934684495,0.2602613105853224,0.190688872066616,0.09235278436610894,0.23843549366907668,0.8292741165233934,0.3982102908277483,0.36375373159935465,0.7350819579180929,0.7454019259836588,0.06577640984908657,0.011810558639423645,0.7171288489163703,0.3397592308527859,0.6135057749270802,0.6361933052456887,0.6697340754581762,0.6931992648549823,0.4869513163725152,0.3793011352914146,,,,0.7950584923061983,0.564516129032258,0.6153846153846154,0.14285714285714285,0.0,0.0
2,경상북도,2001,0.21748310810810811,0.20353591160220993,0.381686722727149,0.18407743743076588,0.5796567617736725,0.04861574335805258,0.06239020606577128,0.18188526473672545,0.5150046122745382,0.3364089246912927,0.28432127473030133,0.2843304908680436,0.13430148687483712,0.236782740348221,0.14857044128104224,0.13254439984276933,0.39023939365930715,0.705816554809843,0.661385238307655,0.4430673821201707,0.46193656809117467,0.1977760127084989,0.08825439943309317,0.601656361251639,0.18226182055174456,0.6472883264341602,0.6222228791636639,0.6276413595851986,0.6285618645131592,0.3813261543863762,0.32760929034562936,0.3838666682970371,0.30880377784220525,0.22662911799476526,0.841095092471239,0.5483870967741935,0.6153846153846154,0.14285714285714285,0.15000000000000002,0.0
3,충청남도,2001,0.05884009009009009,0.07337016574585636,0.48041413999458804,0.22722714383132625,0.7392077701147208,0.3864213378261832,0.24450552719500085,0.15241482174714122,0.3395733155384586,0.2884996555196353,0.2075324972363053,0.20753697528979193,0.2828469847904862,0.2649583648750944,0.2229594563492845,0.25418388860433794,0.9021540587766665,0.6637583892617442,1.0,0.655443733502953,0.7018984172285205,0.15925337569499598,0.027577654423054182,0.6066854037848981,0.2441602619636143,0.5136698318468036,0.4873896126004986,0.4988943122852545,0.4957529603749107,0.2597199207417509,0.26195859017002765,,,,0.9023736711810104,0.8225806451612903,0.6153846153846154,0.14285714285714285,0.15000000000000002,0.0
4,충청북도,2001,0.03367820945945946,0.05834254143646409,0.36157542679870014,0.09940724695369352,0.6392121320803197,0.11028048809308438,0.06472047419176374,0.13200596613341903,0.4376911149928362,0.40763686469871185,0.29255517859185,0.29264571679725776,0.03645058327748596,0.12461014383043145,0.0,0.040969351899277306,0.14260406075731424,0.7241610738254991,0.6081048622310672,0.8927768064971389,0.8521175939479475,0.15885623510722757,0.03318766977678039,0.5275548060708259,0.11494819277427615,,,,,,,,,,0.9696584308205101,0.9516129032258064,0.6153846153846154,0.14285714285714285,0.15000000000000002,0.0
5,제주도,2001,0.01953125,0.01569060773480663,0.8847501924500825,0.8816653861226045,0.5690377988552271,0.26452318626741284,0.35110247680523965,0.3826104758283861,0.9545249357225571,1.0,0.9874585445812522,0.9876731382617245,0.651708940559083,0.5929220287660861,0.3627231660781751,0.6016074470239303,0.9337750166153853,0.0,0.2916738153244347,0.8158831236944355,0.7771964548356034,0.017374900714852717,0.0028788236683594455,0.827306226968958,0.7649136192996815,0.8848894725683252,0.928826058103299,0.9357377792045001,0.9314325993684958,0.6877806853999284,0.669483695221577,0.6559298614592628,0.8003387704680394,0.664905530698338,0.10240603206964072,0.0,0.6153846153846154,0.14285714285714285,0.0,0.0
6,전라남도,2001,0.7048493806306306,0.6751381215469614,0.5569183295482572,0.4860213518049057,0.503196351458107,0.2186882909303623,0.2010794171498732,0.19578994865281535,0.7868848781882869,0.8276727512246085,0.7105281787933412,0.7105566018918783,0.43813396640049085,0.4457607872823617,0.40078058567134045,0.40074888840865075,0.901928328406882,0.24368807925856117,0.6140435586100064,0.8254890193379674,0.8549223469129572,0.03347327811188016,0.00784558538190279,0.6016408362108199,0.39356763059860334,0.5997429020166449,0.5859806091274304,0.6307881948343574,0.6515142249273378,0.43911043483349976,0.47916572431188853,0.49975544441862985,0.5317049766169595,0.48257834661882426,0.4733773903717109,0.08064516129032258,0.6153846153846154,0.14285714285714285,0.0,0.0
7,전라북도,2001,0.11102899774774774,0.11624309392265193,0.44471745870601076,0.23495537050481663,0.6927826086354463,0.4352663763183579,0.28481171397550875,0.2692497629005101,0.36041350653428905,0.332014718018216,0.17051042579956532,0.1705440088721027,0.3357176122377121,0.2984048880718071,0.37933833308727793,0.29496691175845013,0.4379078001475136,0.4789069990412287,0.452132587585355,0.70852037722823,0.6913641043005923,0.30324520594576165,0.06753108707756163,0.5811451055970451,0.17356149177257274,0.7258133373953024,0.7040970379529807,0.7673567972712743,0.8086659564127232,0.6048394351595623,0.5409005982572317,,,,0.8632706225541527,0.7741935483870968,0.6153846153846154,0.14285714285714285,0.15000000000000002,0.0
8,강원도,2001,0.09058277027027026,0.06718232044198895,0.25112690798264037,0.09296441321768323,0.42468097068274435,0.09195904805647553,0.12727625440939916,0.31053615819445074,0.33691193499636873,0.23968943770205087,0.2953608050928219,0.29540180785734843,0.06545543351091054,0.19681302043906124,0.21103889196547287,0.08173025383250199,0.016542766473442327,0.9574944071588334,0.322538860103627,0.5924820882074555,0.5572981689014793,0.34769658459094516,0.4153773473485296,0.2862507026419334,0.08690261407259592,0.39378271618152816,0.38540964772874453,0.4162064098540128,0.42352592802402445,0.20442575391483908,0.23252744593284502,0.27063865690074684,0.33129640367573887,0.27427054162292097,0.8331731469346149,0.564516129032258,0.6153846153846154,0.14285714285714285,0.4,0.0
9,충청북도,2002,0.013689470720720721,0.02740331491712707,0.19169077099593634,0.03607740040298557,0.33381638063481134,0.23753919541192398,0.4174592642094571,0.490340128096394,0.5225726678573528,0.4389474799936406,0.3163420119696564,0.31637274128152765,0.0961186773742857,0.2590234670704008,0.2679611099685837,0.06252903410241428,0.11676767943521327,0.7724832214764916,0.3752359057063448,0.0,0.0,0.020651310563939283,0.0030707452462500943,0.2312984822934232,0.06763154478523381,,,,,,,,,,0.8321634872093586,0.8387096774193548,0.5384615384615383,0.5714285714285714,0.05,0.0
10,전라남도,2002,0.7508445945945945,0.6134806629834254,0.45609216508666206,0.4281257727896066,0.35696664758018226,0.30161815188583213,0.4419366317463962,0.5953531006764126,0.7851128675450083,0.8334418509573527,0.7000724278580416,0.7002000156845378,0.4672288761705712,0.5844436033308098,0.5918203544096192,0.39051356966738204,0.8944962031397239,0.31783317353789187,0.2844863505571049,0.6610258520367243,0.6435451077807022,0.0,0.0,0.3675954923846998,0.3815170621137922,0.5106779029532302,0.5103661961493486,0.5551730828827321,0.5921296996655796,0.4274700064376429,0.4891279388864318,0.5154913733018671,0.5494001399200823,0.5098240571522832,0.43645823942896933,0.06451612903225806,0.5384615384615383,0.5714285714285714,0.0,0.0
11,경기도,2002,0.11145129504504504,0.5100552486187846,0.2834249612477895,0.11252125240294841,0.48737210959196187,0.28026853367989574,0.49154969793562786,0.4798467522592343,0.13132225078997473,0.1205416291271395,0.09831128730987693,0.09829760982265628,0.13211206651748708,0.19337623012869032,0.22143300134159105,0.09903457887151257,0.7796095053235277,0.913870246084997,0.40563771746216903,0.5895282171500016,0.6135282834956062,0.014396346306592114,0.002140663753395472,0.2214540003747425,0.10518284201909056,0.3791905015777868,0.4817931511136342,0.44528681019510463,0.503052911772941,0.27471176918124973,0.3544837600459827,0.38528019955735426,0.3978822906556079,0.2958696326460475,0.8545216251638266,0.7903225806451613,0.5384615384615383,0.5714285714285714,0.05,0.0
12,경상남도,2002,0.4564329954954955,0.4377900552486188,0.5344805525782022,0.3476090853829752,0.6895613316596316,0.4032064990654782,0.6787899446442967,0.8192671014535138,0.278640262212714,0.20558853145370715,0.11489345480882829,0.11488949335159665,0.3023813850994468,0.29475775927327796,0.23791318724321364,0.2500938024847237,0.8305450288073501,0.42561521252797263,0.3955473870226123,0.5545004233505844,0.5702666179412579,0.0,0.0,0.5069795765411285,0.2882566755948357,0.4902383045118741,0.5373224856444132,0.6041058650850681,0.6392607350806427,0.41956474847210545,0.42756938732293914,,,,0.7429736420562107,0.6290322580645161,0.5384615384615383,0.5714285714285714,0.0,0.0
13,경상북도,2002,0.17623873873873874,0.17679558011049723,0.19984603993313055,0.08992196395345609,0.26620591385602577,0.14676478052312442,0.313754052072279,0.5296247770011406,0.4545857784930618,0.3259685197943716,0.2802500667098691,0.28027949241607203,0.08265842770653276,0.3190083270249806,0.23844739008589144,0.039766297809488815,0.39544188134630787,0.7505592841163065,0.3585938304223999,0.4074115999857053,0.4487765289832377,0.018665607625099043,0.003602220385024144,0.32039722690650185,0.1191976834447368,0.49911960922753273,0.48942092084387934,0.5198192489259568,0.5504446597379355,0.3395911678887047,0.3367045865427416,0.4041965737763047,0.3389385927317192,0.2515297843599995,0.7305502969111535,0.5161290322580645,0.5384615384615383,0.5714285714285714,0.0,0.0
